description,sentiment,PCategory,confidence
    Faeces found on floor of Shower Sap A      Prior to top of decent CSAs informed the Purser that they had found faeces on the ground of shower spa A next to the toilet bowl.  CSAs claim that Mr. Matsuda 1F had just exited the shower spa before they noticed the faeces.  They also stated that they had been in shower spa A just prior to him going in.,negative,Safety,0.9459404520856927
   Winter coat missing   Imane was missing her winter coat.Crew pulse displayed 3Â°C minimum temperature.,negative,Cabin Crew,0.9851032611028937
" First Class Customer Overall Experience  Was the First Class overall experience achieved for the customer:Yes. How was the customer's experience portrayed at the end of the flight:Over all experience were appreciated upon farewell. During your conversation with the customers, did you find them to have any suggestions/concerns beyond the standard First Class experience:No, customer enjoyed the in flight services and appreciated privacy. What action could be taken to satisfy this customer's request and was it accomplished;N/A. Feedback from F Class Cabin Crew (FG1's):No. Additional comments:  Customers were welcomed by the Purser during boarding. All Service Preferences / Purser Notes were reviewed when applicable.  Cabin Crew actively ensured all suites were replenished when customers visited social area/ lavatories.  All needs were promptly anticipated throughout the flight.  Purser personally extended his farewell to the customers prior landing.",positive,Cabin Crew,0.977275744352697
"crew performanceCarley was observed being active in the cabin and checking on customers satisfaction, when Carley identify  2 customers that had been missing their connecting flight she ensured that they are enjoying their flight, listen to them carefully, reassure them  and monitored them through the flight ,she also raised a KIS report informing the company with regards to the customers experience Carley ensured all HVC are welcomed back and monitored through the flight Carley was observed helping her colleagues in the other cabins with the service showing a great support and team work among her colleagues Carley was operating in Y class and after she finished the service in economy class, she went to help her colleagues in J class, while doing that,  she checked the toilets for the cleanness and she observed one of the toilets very dirty having excrements on the floor , Carley didn't wait for any of the crew to take an action and she showed and exceptional role model by cleaning the toilet herself. People like Carley are an asset for the company and was a pleasure flying with her .",positive,Aircraft Development,0.7787600999747112
"I would like to commend Rafael for the outstanding job he has done on this trip.Rafael led by example the entire trip, in all aspects of the flight. He took on certain purser responsibilities on my behalf. He was observed taking a genuine interest in customers well being, comfort and enjoyment during their flight. He went beyond expectation with several elderly and wheelchair customers, on each sector, by constantly checking they were comfortable and ok, assisted them to the lavatory, introducing his team working in that area to them, writing notes for the next crew regarding any special issues that these customers had to deal with, assisting them with arrival procedures into SIN and MEL etc.Rafael was also observed developing his crew during the trip, challenging them to break out of their comfort zone and take on several aspects of service and customer interaction that are normally duties for the CSV on A380. He gave some of them tips on how to initiate customer interaction/PR, to ultimately gain customer feedback on the flight and their experience overall with EK, as they confessed that they don't know how to really do so.  His overall aim was to develop the already experienced cabin crew to think outside the box, use their initiative and to take ownership and pride in their job, just like he does.It was an absolute pleasure to have worked with such a professional, passionate, confident and switched on colleague, and I wish him success in his career with EK.",positive,Cabin Crew,0.6420223249456687
  Kindly be informed that Sawarak 441555 had been working in JC for this sectors.,positive,Cabin Crew,0.9870006332726222
"  while I was securing the cabin Customer seemed to be under the influence of alcohol  , Customer was asking me to drink his vodka , Customer Kept insisting holding the glass.   Mr BEHROUZ ZAREKAMALI  was talking to the customers around while I was talking to him and they were not replying him.",neutral,Security,0.5165523957958793
"CUSTOMER DISRUPTIVE ALCOHOL  It was brought to attention by CSV Oana Nicodim 408363 that Mr Valentin was intoxicated. He was brought to the aircraft on a wheelchair which was not on our system.  Crew complained that the gentleman was being rude yelling across the cabin and being loud, even blaming crew for pushing a customer to the floor, who had tripped.   Mr Valentin was disturbing customer on 7A and 6A who felt threatened and told crew that he would smoke after takeoff.   When told to be seated by crew member Oana he became verbally abusive.   Crew member Melissa Murphy 275520 complained that the gentleman tried grabbing her leg.   I went to speak to Mr Valentin, when asked if he had too much too drink he answered to me ""I've had more than too much.""   He referred to the crew as waitresses and that they were waving him off.  I then asked him if he was fit to fly in which he said ""Fly the plane?""    When asked simple questions, ""What flight did you come on or Where did you fly in from he struggled to give a straight answer finally saying ""I have been in DXB.""  I then mentioned to him ""that my concern was that in his condition if he could evacuate the AC in an emergency?"" He answered that question saying ""With my training I can cause a lot of damage to the aircraft in the air.""  Crew member Melissa Murphy witnessed the customer say this to me.",negative,Safety,0.9889586561037186
"  White Seals     New and unused white seals were found loose in both Business and Economy galleys.   Three white seals were found on top of one of the bar carts in Business Class, while two were found inside the container with red wines in the Economy af",neutral,Product Development,Please manually Review
"LOCKER STOWAGE WAYBILL  Airway bill number: EK 85046 Serial number156376 Item: white pillow Item handed over by security staff, Ashish staff number 77915",neutral,Security,0.9878463542671214
LOCKER STOWAGE WAYBILL Airway bill number 100958 Delivered by security staff Azam staff number 2111122 Serial number 413601 to 413700,neutral,Security,0.988573531106624
Um sat next to brother 11J and had mashed potato for dinner   she did not want anything elseShe drank only water during the flight,negative,Airport,0.9822665305670816
" customer lost his Headphone case at the gate in AMD airport . black case with letter N , brand : incredible . Krishark2002@gmail.comMobile : 17079803328",negative,Airport,0.987753755893268
ITEM LEFT ON BOARD  There was an item left on board by customer who was seated in 6K seat   The item was a pair of spectacles with black and red frame in a white case Lost and Found Form Number: 289507,neutral,Airport,0.968483723988016
Received delay baggage message for customer.,neutral,Airport,0.9875015988335405
"Seat Changed There were few seat changed by crossing the original seat and writing the new seats and customers claimed that the ground staff done it. There were few issues as the seat that show vacant on the system were occupied and cabin crew was not able to change seats for obese customers, for mothers with infants who were over the size and baby bassinet can be offered, to locate customers with special meals, to locate high valued customers who need  to be recognised etc.  Soft block seats were not blocked for the crew although there were more than  80 vacant seat.",positive,Service Recovery,0.9746727675249242
"  Asthma Attacked.  During the flight Mr. Jain asked for an Oxygen.  He has previous history of Asthma, Diabetes and Low Blood Pressure.  Dubai Time: 1110 hrs.   78 SPO2, 1115 hrs. 82 SPO2, 1120 hrs. 85 SPO2  MIRF  337864  Mobile No. 919466331451",negative,Medical,0.9826474958656668
"   Thermometer     Thermometer was not available in any of the Amenities containers on board   According to the latest OM E revision from Jan 4th, it should be in Amenities containers",positive,Product Development,0.8254024200177706
CCM Anamaria Politic  staff  452509 reported such in TPE station.crew member was vomiting and had Stomach pain.,negative,Medical,0.987963283065894
"Diabetic customer become unwell during the flight. Ref. 357313Mrs BEAUM seat 42B become semi responsive and very confused, when talking to her husband we got to know she is diabetic and it was unclear if she has taken her medication on time. She was put on O2 and her own medication was given with water. Customer was traveling with her family members and they have taken some glucose saturation levels by themselves. Customer got better and walked off on her own",negative,Medical,0.9688953172391738
SICK BABY: CUSTOMER SEATED AT 53C INFORMED ME THAT HER 6 YEAR OLD BABY BOY IS HAVING DIARRHOEA SHE ALSO INFORMED ME THAT IN LAST 5 HOUR THE BABY HAD LOOSE MOTION FOR 2 TIME. SHE TOLD ME THAT BABY IS WEAK AND SHE DIDNT GAVE ANYTHING TO EAT IN LAST 4 HOUR.,negative,Medical,0.9897534853734644
"   Stuck tray table    During lunch service, I tried several times to open the tray table for Mr Campagnoli however it was stuck and didn't manage to work it out.",negative,Service Recovery,Please manually Review
 Customer was not happy with the seat functions as he complained that the seat does not recline completely as compared to the seat on his previous flight. Customer slept for the rest of the flight however didn't seem satisfied with the seat.,negative,Aircraft Development,0.6163264323131343
 Aft galley no water and sinks leakage.  With a full flight and the aft galley with no water is very inconvenient to operate as any tea coffee or water related services were carried out from JC and forward galley. This aircraft has been flying with the same problem with no defect logged for the last two weeks which was informed to us by the engineer from AKL. The water shut off valve was turned off as there was a big leakage of water.,negative,Aircraft Development,0.7200056143260792
"   No main galley light installed in JC     There is no main galley light in the Business class, only Work lights, which are not sufficient and bright enough. Especially during the night flights the galley gets really dark and it is difficult for the crew to work in it.",negative,Aircraft Development,0.9008108368564499
"WASTE LINE LEAK  As logged in the cabin book, as a deferred defect, there is a leak from lavatory 5MK at the aft of the aircraft.   Due to this leak, waste water builds up at the base of the aft stairs and there is a very strong sewage water smell at the back part of economy class and even at the business class galley.   During descent the water leak increased. All over the M5 area and flooded the carpet on the last 3 rows in YC.",negative,Aircraft Development,0.9191806534045155
     CUSTOMER USING INFLATABLE CUSHION     Mr Lobo had an inflatable cushion in the floor area in front of his wife's seat area. Customer commented he had used the device on his last five Emirates flights and had never been told this before. Customer said,neutral,Safety,0.9751892398163053
 on arrival to the aircraft engineers and Captain Informed me that all videos are inoperative as Well boarding music. before closing doors I was Informed that Panasonic engineer was called and heckled the problem,neutral,Aircraft Development,0.9667735616414144
 Mr Asif and Mrs Asif had an emergency exit seats   Both customers are elderly,neutral,Service Recovery,0.8854472629198095
 Mr Khadar Syed was smoking in the lavatory h right Hand side. smoke alarm did not activate.,negative,Safety,0.9898117553940691
" UNSTABLE L2 JUMPSEAT  L2 jump seat was not stable Engineering was in the process of fixing it, however the required part needed didn't not arrive to the aircraft on time",neutral,Safety,0.9868449667933705
on EK142 MAD   DXB when I was closing the duty free cart and containers DF987 I had initially noticed that I was only given 1 metal seal in the blue bag to close so I closed  the cart with metal seal 7500813215The other 2 containers located in first class I closed with GREEN seal numbers: A009652138 and A009652137 as I couldn't find the other metal seals.On closer inspection in my duty free cart I found hiding under the bags in drawer 4 the other 2 missing metal seal numbers 7500813214 and 7500813216 so I proceeded to put these missing seals with the green seals on the duty free containers in first class,negative,Duty Free,0.990022072270114
"Hhc was found inoperative in Duty free Ek1041. Terminal number is 2120726.Crew from previous trip, Ek 404 Sin Mel, left a note about the broken Hhc on the cart on 25/01/18.After inspection by current duty free operator, Dominika s424878, noticed that one of the SD card slot was empty.Closing seals are D0005541, D0005542 and D0005543",neutral,Duty Free,0.8062277635026409
" Refund given for credit card sales due to defective item    Mr Alabid paid for item 2097 Tru Virtu Hi Tech wallet with his credit card.   After a while, he informed the duty operator Gillian (s398993) that the item is defective as his cards are falling out from the cards slot even though the cards are supposed to be clicked and locked in place.",negative,Duty Free,0.9789319752220454
Hand held computer DF 1089 not working properlyNot printingSwitching off automaticallyLogin and log out successfully done.,neutral,Duty Free,0.9884929493636206
Duty free cart no.054 metal seal Please be informed that  the metal seal for duty free cart no 05 was broken due to item that was sold was forgotten inside the cart.Cart was resealed with a green seal number.A008827894 respectivelyPaper work was not updated for your information.,neutral,Duty Free,0.9900410719184871
"SOY MILK / NON DAIRY MILK:Ms Petersen was surprised that soy milk (or a non diary milk) was not loaded on all sectors in First Class. She requested to put forth a recommendation to the company, that all First Class flights offer a non dairy milk option.",negative,Catering,0.9842576342308813
  hot towels were not Offered to customers after the service due to the short time.,negative,Product Development,1.0
" Customer was not pleased with the aircraft as It was the old system and No touch screen as Well when he booked the flight ,his children did not get the SPML even It is on the profile as gold members when connecting to the WiFi It gave Mr & Mrs Jaiswal a Message that Please connect as non Skywards as your Skywards number is not entered for your flight today",negative,Emirates Skywards,0.8980061127724428
"The service in the A380 2 class is starting 15minutes before the A380 3 class, however, with only 10 extra passengers on the main deck and only 120 on the upper deck, the extra 15 minutes to start the service for the A380 2 class in unnecessary.",neutral,Product Development,Please manually Review
" Unable to offer hot beverages from row number 37 to row 50 both left and right side due to severe turbulence as per captains information, on a category 4 flight lunch/dinner service.",negative,Product Development,0.9900538621963616
"MR Moubarak was escorted by ground staff to the aircraft, meet and greeted by PUSERS.ALL MR Moubaraks profile request was given to him.",neutral,Emirates Skywards,0.921778477020685
Customer was informed about the expiry of her miles.She was grateful for the information given to her.,neutral,Emirates Skywards,0.9874530986386207
customer like to add on her profile    She would like to babe AVML as preference and a standard meal on her future flights .   She would like as well to have Gin and Tonic as proffered drink.,positive,Catering,0.9865558830396165
"   SPML DBML Cancellation    Customer said that this is happening to her for years every time she fly with emirates, DBML will be ordered and in her profile but she never order it. Please cancel DBML as per customer preference.",positive,Emirates Skywards,0.8555587684110058
"  Mr Dhawal did upgrade himself by using credit card , from Y/C to B/C .",negative,Emirates Skywards,0.9886723743130553
Crew member Bianca brought it to my attention 40 minutes to the end of her break that her break was disrupted by crew member Belinda staff number 421566 .Crew member Bianca stated that 10 minutes into the start of her break crew member Belinda came back into the CRC and woke her up searching for her mobile phone inside the bunk .Bianca seemed very upset and stated she was feeling very tired and was now unable to fall back asleep.,negative,Security,0.6464118356641796
" Due to VCM  1 crew, and flight time shorter than blocked time, the crew rest was reduced by 10 minutes. All crew were given equal rest for 1 hour on curtained hard blocked seats",negative,Product Development,Please manually Review
 Crew rest seats assigned for customers   seat  49JK were assigned for two customers   flight capacity 386 PAX  flight load 245 PAX,neutral,Service Recovery,Please manually Review
"CRC on main deck is poorly insulated for external sound. Customers having a normal conversation could be heard inside. As for the lavatory vacuum, less said the better.",negative,Aircraft Development,0.8237899435758504
"Disturbance while on rest.  While on 3rd rest rotation there was a lot of noise from the surrounding cabin, e.g. toilet flushing every 5minutes and customers conversation.  While on the seat as customers walked passed they were bumping and brushing past curtains which then opened.",negative,Aircraft Development,0.975519591689981
We left the EGHQ 3 mn late as 1 crew was pulled out and we were asked to wait .Then we decided to go to avoid any more delay and the crew joined on board..,negative,Cabin Crew,0.6160420258456563
Re : Crew transport  Crew had to walk two block to catch the crew bus in JFK due to group protest  Captain led the way and we all walk two blocks down to 5 Ave catch the bus,negative,Security,0.8355722355671472
"Crew Transport Bus that took the crew from the hotel to the airport was really cold. When asked to put the heater on, the bus driver stated that this will take a long time (it took 20 minutes.",neutral,Safety,Please manually Review
" Customer complained that the car that picked them up to the airport was too small. Customer informed that he have big bags and he was told they will ensure that he will get a big car, Customer stated that he squeezed with his wife in the car.",negative,Catering,0.6141509619957378
 Customer very upset after waiting for an hour for transport at Port Rashid Terminal  Customer has little mobility and his traveling partner went out side 8 times to find diver and ran around terminal trying to find him for the entire time. Customer says ,negative,Service Recovery,Please manually Review
"  CUSTOMER COMPLAINT   Mr. Mc donnel is a Platinum skywards member.  Customer was unable to log onto the Wifi using his email address to access the free  Wi Fi.  Customer had to pay 15 USD for the Wi Fi on the sector from Dubai to Lanarca.  On the second sector, Lanarca to Dubai the 15USD he had initially paid on the first sector was not valid.  Mr. Mcdonnel was upset that he had to pay another 15 USD for the next sector, Lanarca to Malta.  Total amount spent by customer is USD 30.  Customer insisted that he should get a refund of 30 USD from Emirates.",negative,Emirates Skywards,0.9891084171110336
"Customer complained that his mobile phone and laptop are not connecting to the WiFi.Tried to assist customer but I was unsuccessful I connected my KIS Tablet, and it connected even though connection was very slow.We tried again with the customer laptop and we managed to have it connected however his mobile phone didn't connect.Customer was very understanding and didn't complain further.",positive,KIS/MOD,0.9359924188033931
 On air connection  Mr. Lorinczi informed us that he is not able to connect to on board WiFi.,neutral,Service Recovery,0.5461638866300457
 On air data expired after internet disconnection   Mr. Alfalahi claimed that he paid 15 USD for internet.  Customer claimed that he wasn't able to use the purchased data after the internet went Off On.  Customer claimed that he only used 40 MB out of 500MB purchased.  The main WiFi page prompted the customers the two paid plans.  Customer requested the possibility of refund.,negative,Aircraft Development,Please manually Review
" WiFi was INOP from the beginning of the flight. WiFi was reset from the cockpit and It started working after the reset. Mr mansour claimed that It was slow and he could not send email or work, he was very disappointed with the facility.",negative,Aircraft Development,0.9848660736275823
OME MANUAL MISSING   EK 522/523 DXB TRV DXB OME manual missing from ship's library.,negative,Duty Free,0.6996453101439738
 landing cards were not Provided for the DXB CKY sector. station manual information indicates that landing cards should be supplied.,neutral,Product Development,0.7512888455606813
 OME IN SHIPS LIBRARY WAS VERSION 9 NOT VERSION 10.,neutral,KIS/MOD,Please manually Review
KUL CABIN SPRAY PROCEDURES Cabin spray procedures are not mentioned in Station Manual. It is listed on Service Sequence and PA.,positive,Product Development,0.5065409060181686
"  Information missing from the Station manual for SEZ  file on KIS tablet   Was informed through an extra paper given from briefing desk that the hatracks in the entire aircraft needed to be opened during spraying after boarding had finished, the last door closed and the A/C turned off. This information is not available in the station manual under SEZ. There is no more Health cards for the crew or customers to be filled out, however it is still written under this station. No Alcohol/Duty Free paperwork was provided to me in regards to the padlock bars and seal numbers we needed to record and provide the Security staff on arrival. Nothing was mentioned in the Station manual. Security staff stated they usually have a paper provided by DXB where the crew write the seal numbers of the Alcohol containers and carts. This was done on a regular paper.",positive,Duty Free,0.5113786147005662
"SKYWARDS ENROLMENT: many or most of the crew are not aware that on the log in page of the on air WiFi , a customer can enrol for skywards by clicking on  join and earn miles and WiFi benefits.",positive,Emirates Skywards,0.9810953225270063
 New Image and Uniform update feedback  Crew used jackets on for boarding as per new Image and Uniform standard,neutral,Cabin Crew,0.9841948604381049
. Mr.Al Muhairi complimented the service and was happy with both of his meal taste and quality .,positive,Cabin Crew,0.8068463071164901
"CSA   JOB DISCRIPTION JANET BALBOA 404353During the flight to IAD, Janet wanted to lock the toilet with the reason customer vomited in the sink. I advised her to use the cleaning kit from HRK. She claimed its not hygienic for her to clean and further more she not aware of the cleaning kit and how to use it.",negative,Medical,0.9643127419141568
    Customer requested to have lunch/dinner in the lounge area     Inquiries not applicable for this flight. For the new lounge design with tables.  This for myself clarification. i can not find the information in the service manual or in OBU.,neutral,Product Development,0.5270689652019452
"Net gear screen damaged The Net gear was in the KIS tablet bag along with the KIS tablet. In MXP airport while doing the briefing at the gate, one of the crew members accidently hit my cabin bag causing it to fall down. The net gear was damaged. The net gear was still working, only the screen was broken.",negative,KIS/MOD,0.640532260585471
OM E on board is version 9 instead of version 10,neutral,Catering,Please manually Review
No witness statement forms in Purser folder,neutral,KIS/MOD,0.5358277045462945
OM E version 9 is loaded in the ships library.,neutral,Safety,0.9131551861404962
OM E Missing  There is no OM E available in the ships library.,negative,Aircraft Development,0.6714257298688644
  Survey Forms   Completed 50 Survey forms,neutral,Airport,0.6155378134402328
Surveys Forms DXB CDG 14 English Surveys not completed. 24 English Surveys completed. 06 Arabic Surveys completed. 14 Arabic Surveys not completed. 02 Surveys not handed back from customers.,negative,Security,Please manually Review
"Survey Forms  Final load BGW DXB 0/11/56  Forms required to be handed out are 8/12/10  Forms given out were Nil / 9 (x1 engineer, x1 security, x1 Quality Inspector), and 10 in YC",neutral,Security,0.8035720201330546
 All forms were distributed however a large number were not completed A lot of forms were left in seat pockets and returned to us by the cleaners  One contributing factor was it being a short night flight and most customers slept ,neutral,Service Recovery,0.8757180872080824
Survey forms received for this sector DXB HKTBooked load 42/396,neutral,Airport,0.9324384622621137
